geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037117201,6037117201,2019,846,1232,1232
1400000US06037117301,6037117301,2019,255,2871,2871
1400000US06037117302,6037117302,2019,388,1713,1713
1400000US06037117303,6037117303,2019,191,1806,1806
1400000US06037117404,6037117404,2019,373,2280,2280
1400000US06037117405,6037117405,2019,833,1370,1370
1400000US06037117407,6037117407,2019,946,1212,1212
1400000US06037117408,6037117408,2019,744,1213,1213
1400000US06037117510,6037117510,2019,825,1433,1433
1400000US06037117520,6037117520,2019,902,1309,1309
1400000US06037117530,6037117530,2019,1262,1315,1315
1400000US06037119001,6037119001,2019,265,2317,2317
1400000US06037119003,6037119003,2019,284,1247,1247
1400000US06037119004,6037119004,2019,283,1247,1247
1400000US06037119201,6037119201,2019,204,2125,2125
1400000US06037119202,6037119202,2019,280,1325,1325
1400000US06037119310,6037119310,2019,642,1604,1604
1400000US06037119320,6037119320,2019,874,1710,1710
1400000US06037119340,6037119340,2019,1015,1325,1325
1400000US06037119341,6037119341,2019,553,1378,1378
1400000US06037119342,6037119342,2019,396,1574,1574
1400000US06037119400,6037119400,2019,222,2077,2077
1400000US06037119700,6037119700,2019,227,1727,1727
1400000US06037119801,6037119801,2019,198,1729,1729
1400000US06037119802,6037119802,2019,204,1729,1729
1400000US06037119900,6037119900,2019,223,1254,1254
1400000US06037120010,6037120010,2019,352,1444,1444
1400000US06037120020,6037120020,2019,952,1155,1155
1400000US06037120030,6037120030,2019,721,1082,1082
1400000US06037120103,6037120103,2019,791,1260,1260
1400000US06037120104,6037120104,2019,679,1363,1363
1400000US06037120105,6037120105,2019,618,1185,1185
1400000US06037120106,6037120106,2019,1062,1225,1225
1400000US06037120107,6037120107,2019,1042,1244,1244
1400000US06037120108,6037120108,2019,1009,1225,1225
1400000US06037120300,6037120300,2019,385,1369,1369
1400000US06037120400,6037120400,2019,1346,1360,1360
1400000US06037121010,6037121010,2019,403,1287,1287
1400000US06037121020,6037121020,2019,534,1404,1404
1400000US06037121101,6037121101,2019,562,1258,1258
1400000US06037121102,6037121102,2019,314,2058,2058
1400000US06037121210,6037121210,2019,278,1217,1217
1400000US06037121221,6037121221,2019,180,1861,1861
1400000US06037121222,6037121222,2019,810,1399,1399
1400000US06037121600,6037121600,2019,196,2198,2198
1400000US06037121801,6037121801,2019,772,1461,1461
1400000US06037121802,6037121802,2019,233,1691,1691
1400000US06037121900,6037121900,2019,440,1573,1573
1400000US06037122000,6037122000,2019,599,1875,1875
1400000US06037122120,6037122120,2019,482,1419,1419
1400000US06037122121,6037122121,2019,384,1225,1225
1400000US06037122122,6037122122,2019,476,1380,1380
1400000US06037122200,6037122200,2019,466,1472,1472
1400000US06037122410,6037122410,2019,1029,1234,1234
1400000US06037122420,6037122420,2019,922,1325,1325
1400000US06037123010,6037123010,2019,655,1228,1228
1400000US06037123020,6037123020,2019,332,1422,1422
1400000US06037123103,6037123103,2019,991,1328,1328
1400000US06037123104,6037123104,2019,1119,1184,1184
1400000US06037123203,6037123203,2019,987,1308,1308
1400000US06037123204,6037123204,2019,868,1227,1227
1400000US06037123205,6037123205,2019,603,1294,1294
1400000US06037123206,6037123206,2019,652,1169,1169
1400000US06037123301,6037123301,2019,950,1685,1685
1400000US06037123303,6037123303,2019,672,1554,1554
1400000US06037123304,6037123304,2019,1368,1351,1351
1400000US06037123410,6037123410,2019,976,1255,1255
1400000US06037123420,6037123420,2019,946,1170,1170
1400000US06037123510,6037123510,2019,1247,1257,1257
1400000US06037123520,6037123520,2019,567,1230,1230
1400000US06037123601,6037123601,2019,1235,1360,1360
1400000US06037123602,6037123602,2019,822,1317,1317
1400000US06037123700,6037123700,2019,656,1412,1412
1400000US06037123800,6037123800,2019,1623,1479,1479
1400000US06037123901,6037123901,2019,1075,1468,1468
1400000US06037123902,6037123902,2019,693,1602,1602
1400000US06037124000,6037124000,2019,1142,1567,1567
1400000US06037124102,6037124102,2019,1075,1450,1450
1400000US06037124103,6037124103,2019,401,1161,1161
1400000US06037124104,6037124104,2019,839,1233,1233
1400000US06037124105,6037124105,2019,768,1294,1294
1400000US06037124201,6037124201,2019,610,1536,1536
1400000US06037124203,6037124203,2019,501,1370,1370
1400000US06037124204,6037124204,2019,794,1302,1302
1400000US06037124300,6037124300,2019,853,1195,1195
1400000US06037124400,6037124400,2019,1126,1512,1512
1400000US06037124500,6037124500,2019,582,1722,1722
1400000US06037124600,6037124600,2019,800,1797,1797
1400000US06037124700,6037124700,2019,1318,1856,1856
1400000US06037124902,6037124902,2019,1373,1403,1403
1400000US06037124903,6037124903,2019,1180,1639,1639
1400000US06037125101,6037125101,2019,1084,1640,1640
1400000US06037125102,6037125102,2019,1082,1640,1640
1400000US06037125200,6037125200,2019,1078,1514,1514
1400000US06037125310,6037125310,2019,1604,1623,1623
1400000US06037125321,6037125321,2019,1090,1529,1529
1400000US06037125322,6037125322,2019,1568,1529,1529
1400000US06037125402,6037125402,2019,1461,1820,1820
1400000US06037125403,6037125403,2019,1030,1861,1861
1400000US06037125404,6037125404,2019,1403,1861,1861
1400000US06037125501,6037125501,2019,1466,1484,1484
1400000US06037125502,6037125502,2019,1401,1761,1761
1400000US06037125600,6037125600,2019,585,1607,1607
1400000US06037127102,6037127102,2019,1064,1310,1310
1400000US06037127103,6037127103,2019,909,1167,1167
1400000US06037127104,6037127104,2019,876,1374,1374
1400000US06037127210,6037127210,2019,1307,1249,1249
1400000US06037127220,6037127220,2019,1205,1322,1322
1400000US06037127300,6037127300,2019,879,1265,1265
1400000US06037127400,6037127400,2019,1388,1376,1376
1400000US06037127520,6037127520,2019,1407,1162,1162
1400000US06037127603,6037127603,2019,797,1282,1282
1400000US06037127604,6037127604,2019,1003,1249,1249
1400000US06037127605,6037127605,2019,1044,1502,1502
1400000US06037127606,6037127606,2019,772,1427,1427
1400000US06037127711,6037127711,2019,750,1355,1355
1400000US06037127712,6037127712,2019,1346,1305,1305
1400000US06037127803,6037127803,2019,1317,1422,1422
1400000US06037127804,6037127804,2019,1171,1390,1390
1400000US06037127805,6037127805,2019,920,1215,1215
1400000US06037127806,6037127806,2019,938,1207,1207
1400000US06037127910,6037127910,2019,1161,1223,1223
1400000US06037127920,6037127920,2019,875,1387,1387
1400000US06037128101,6037128101,2019,849,1554,1554
1400000US06037128102,6037128102,2019,1238,1299,1299
1400000US06037128210,6037128210,2019,1509,1382,1382
1400000US06037128220,6037128220,2019,785,1191,1191
1400000US06037128302,6037128302,2019,1312,1229,1229
1400000US06037128303,6037128303,2019,1125,1337,1337
1400000US06037128400,6037128400,2019,830,1709,1709
1400000US06037128500,6037128500,2019,1295,1598,1598
1400000US06037128601,6037128601,2019,1263,1390,1390
1400000US06037128602,6037128602,2019,674,1512,1512
1400000US06037128703,6037128703,2019,872,1805,1805
1400000US06037128704,6037128704,2019,878,1805,1805
1400000US06037128801,6037128801,2019,1317,1564,1564
1400000US06037128802,6037128802,2019,1320,1763,1763
1400000US06037128910,6037128910,2019,1070,1711,1711
1400000US06037131021,6037131021,2019,832,1539,1539
1400000US06037131022,6037131022,2019,745,1539,1539
1400000US06037131023,6037131023,2019,333,1652,1652
1400000US06037131024,6037131024,2019,485,1652,1652
1400000US06037131100,6037131100,2019,79,2064,2064
1400000US06037131200,6037131200,2019,333,1817,1817
1400000US06037131300,6037131300,2019,346,2429,2429
1400000US06037131400,6037131400,2019,1043,1537,1537
1400000US06037131600,6037131600,2019,405,1661,1661
1400000US06037131701,6037131701,2019,1021,1503,1503
1400000US06037131702,6037131702,2019,337,1541,1541
1400000US06037131801,6037131801,2019,511,1344,1344
1400000US06037131802,6037131802,2019,513,1344,1344
1400000US06037131900,6037131900,2019,323,2450,2450
1400000US06037132001,6037132001,2019,436,1502,1502
1400000US06037132002,6037132002,2019,454,2263,2263
1400000US06037132101,6037132101,2019,984,1596,1596
1400000US06037132102,6037132102,2019,1226,1680,1680
1400000US06037132301,6037132301,2019,893,1216,1216
1400000US06037132302,6037132302,2019,917,1216,1216
1400000US06037132501,6037132501,2019,652,1366,1366
1400000US06037132502,6037132502,2019,655,1632,1632
1400000US06037132700,6037132700,2019,735,1210,1210
1400000US06037132900,6037132900,2019,568,2077,2077
1400000US06037133000,6037133000,2019,419,2110,2110
1400000US06037133101,6037133101,2019,514,1473,1473
